step,n,mean,std,min,max,skew,excess_kurt,frac_3sigma,frac_5sigma,frac_10sigma
10,28172,-0.00030548061905438036,0.03711555692327188,-0.5198,0.396057,-0.06498473281122337,12.258296548923736,0.030526764162998724,0.004543518387050973,0.00010648871219650717
1340,14164,-0.00024384587687094044,0.023746538606311294,-0.495667,0.43998,-1.573376487031251,117.55946464510626,0.01863880259813612,0.009672408924032759,0.0019062411748093759
2670,23213,-0.0003639906087106363,0.03926352988487046,-1.452095,1.027523,-3.9739614024549383,282.8531388793087,0.014819282298711928,0.007452720458363848,0.0018093309783311076
4000,25731,-0.024952119078154752,0.46167618060384025,-27.588791,2.989506,-32.9049277144169,1490.67316388002,0.006451362170144961,0.0031479538300104933,0.0011659088259298124
